t S Vs As
0.0 0.411644114234108 NaN NaN
0.03336666666666656 0.40310653716361156 0.4009138316493026 NaN
0.06673333333333335 0.39211814846992066 0.6464541291229263 6.587685819903785
0.10010000000000013 0.3715631950525021 0.8550125743666086 6.470463894780159
0.1334666666666667 0.3494937145194556 1.0566279808274077 4.898454287123874
0.16683333333333325 0.3238880781400136 1.1839482457599675 5.560989666199355
0.20019999999999982 0.30664228345292943 1.352564815750202 6.053996320500351
0.23356666666666662 0.2897405779474016 1.6014133585972108 5.675987021380991
0.2669333333333332 0.28418279064722146 1.711793530952121 4.380551140980646
0.30029999999999996 0.2927085338395263 1.8365488438829296 4.969270861023953
0.3336666666666667 0.3158694696599935 1.9498644265383378 5.585370268371841
0.3670333333333331 0.3584909265990689 2.0077268155484607 5.251436294460285
0.40039999999999965 0.4105576287992309 2.046246010265446 4.030420799006087
0.4337666666666664 0.47006405429121195 1.8584522848951062 3.9982998760939608
0.46713333333333323 0.5203171367420667 2.025131978973743 4.6724625953162695
0.5005 0.5964635028950371 2.153189860161385 5.344602386371567
0.5338666666666664 0.6595134826205882 1.8737332668828866 10.394192490797968
0.5672333333333331 0.7206496606397805 1.6730111787028676 8.138386863454215
0.6005999999999999 0.77115203888531 1.5550082667734584 6.603452142780577
0.6339666666666667 0.8230534482489437 1.5323709399194045 4.61393506349582
0.667333333333333 0.8702725471983495 1.4186712543783764 4.779255412428027
0.7006999999999998 0.9129706240286911 1.288175508154589 4.060239361876303
0.7340666666666666 0.9505104451146255 1.1533012399032023 2.99094129662371
0.7674333333333334 0.9852223446836981 1.0877388856496144 2.778998468384738
0.8008000000000002 1.0192206899880054 0.9900886304436116 3.244432996012219
0.8341666666666665 1.0469008375742626 0.8609852058429538 3.1879587783837997
0.8675333333333333 1.0726588623491238 0.7810892872630072 3.345424910882873
0.9009000000000001 1.0960417637323496 0.6493435522570566 3.534460278921478
0.9342666666666669 1.1130670990548983 0.5253258209743638 3.7402987571776456
0.9676333333333337 1.1290431148388929 0.42151504560838154 3.2775967164150135
1.001 1.1401723094566303 0.29448189703070715 3.515580320448551
1.0343666666666669 1.1474165663129183 0.1980368240996706 3.515580320448551
1.0677333333333336 1.1518280350756944 0.07506711218597163 4.31838990529379
1.1011000000000004 1.1508447878045491 0.09079978529241811 3.652146967682335
1.1344666666666667 1.1461398658042037 0.1870369626112946 2.9606560418790684
1.167833333333333 1.1406916354060341 0.2660783244098769 3.197946278422917
1.2011999999999998 1.1301527845559676 0.4019971935641586 3.6135997947621568
1.2345666666666666 1.1157557175704602 0.5033025680866059 3.2264344176014594
1.2679333333333334 1.0984850614457076 0.6106537553687214 2.7382875465944214
1.3012999999999997 1.077597893558592 0.6958177227541367 2.4755508098546515
1.3346666666666664 1.054875210304355 0.7645733888680772 1.7911930156500344
1.3680333333333332 1.029832479345033 0.8251884443377048 1.8876752058134691
1.4014000000000002 1.0037479392181023 0.8801862075522644 1.584163480242405
